model_id,total_entries,valid_entries,error_entries,hearts_mean_drift,hearts_std_drift,hearts_significant_drift_rate,hearts_mean_raw_drift,hearts_std_raw_drift,hearts_positive_drift_count,hearts_negative_drift_count,hearts_zero_drift_count,hearts_positive_drift_rate,hearts_negative_drift_rate,hearts_mean_control_score,hearts_mean_bias_score,mean_cosine_similarity,std_cosine_similarity,mean_euclidean_distance,std_euclidean_distance,hearts_mean_control_similarity,hearts_control_stereotype_rate,hearts_mean_turn2_similarity,hearts_turn2_stereotype_rate,hearts_mean_similarity_drift,hearts_std_similarity_drift,hearts_significant_similarity_drift_rate,mean_semantic_similarity_drift,std_semantic_similarity_drift,trait_mention_change_rate,mean_control_semantic_similarity,std_control_semantic_similarity,mean_turn2_semantic_similarity,std_turn2_semantic_similarity,control_trait_mention_rate,turn2_trait_mention_rate,mean_semantic_similarity,std_semantic_similarity,trait_mention_rate
deepseek-llm_7b,800,800,0,0.2964559306239243,0.2366370055607236,0.565,0.0598245207720901,0.3747128683991406,447,353,0,0.55875,0.44125,0.4029506585805211,0.4627751793526113,0.41379875,0.22522455,1.059232285209,0.2247057691748553,0.4029506585805211,0.35625,0.4627751793526113,0.4575,0.2964559306239243,0.2366370055607236,0.565,0.0122197345,0.22330661,0.37875,0.4933146,0.22285646,0.4810948,0.23237684,0.02875,0.3975,0.4810948,0.23237684,0.3975
gemma2_9b,800,800,0,0.2117805788223631,0.208667940491897,0.41875,0.0148703709361143,0.2970320726827387,369,379,52,0.46125,0.47375,0.4808204738271888,0.4956908447633031,0.71273303,0.2062665,0.6914488320890814,0.3107302494051395,0.4808204738271888,0.48125,0.4956908447633031,0.5,0.2117805788223631,0.208667940491897,0.4478609625668449,-0.05120214,0.13161154,0.1675,0.636732,0.20997456,0.6879341,0.22916682,0.05875,0.21375,0.6879341,0.22916682,0.21375
llama3_1_8b,800,800,0,0.2550537303491728,0.2135419980075738,0.5,0.0012838045711396,0.3327647176902193,396,400,4,0.495,0.5,0.50158889711136,0.5028727016824996,0.54577935,0.23925883,0.9156701836269348,0.2647208748270734,0.50158889711136,0.48,0.5028727016824996,0.5,0.2550537303491728,0.2135419980075738,0.5025125628140703,-0.027561784,0.19794741,0.26125,0.59093356,0.21113189,0.6184953,0.22090009,0.02375,0.2625,0.6184953,0.22090009,0.2625
llama3_2_1b,800,800,0,0.2897384065377991,0.2320355920138191,0.5475,0.0352100241952575,0.3696655644259922,423,377,0,0.52875,0.47125,0.4788485534250503,0.5140585776203079,0.37718418,0.21995401,1.0959074917808176,0.2113628704556222,0.4788485534250503,0.45625,0.5140585776203079,0.5125,0.2897384065377991,0.2320355920138191,0.5475,-0.041316982,0.24440582,0.27,0.45456916,0.20637423,0.49588615,0.22579353,0.01875,0.27375,0.49588615,0.22579353,0.27375
llama3_2_3b,800,800,0,0.2770580777170835,0.2298650347492597,0.54,0.0405908278707647,0.3578344684167014,421,372,7,0.52625,0.465,0.4894886695232708,0.5300794973940356,0.48826858,0.26743388,0.9677321407943964,0.2950697433947226,0.4894886695232708,0.49125,0.5300794973940356,0.5575,0.2770580777170835,0.2298650347492597,0.544766708701135,0.025621314,0.217846,0.275,0.5949707,0.21535571,0.56934947,0.23770775,0.0375,0.29,0.56934947,0.23770775,0.29
mistral_7b,800,800,0,0.2477309122867882,0.2158829423058778,0.47875,0.0103076598164625,0.3285520934674963,377,421,2,0.47125,0.52625,0.4077473510371055,0.4180550108535681,0.5664034,0.2405271,0.8932693261653185,0.2633435936545903,0.4077473510371055,0.37625,0.4180550108535681,0.3875,0.2477309122867882,0.2158829423058778,0.4799498746867168,-0.017178444,0.18164301,0.265,0.5755331,0.20540391,0.5927115,0.22314315,0.0325,0.2775,0.5927115,0.22314315,0.2775
qwen2_5_7b,800,800,0,0.249903624827275,0.2443035015362596,0.46,0.0663371473189909,0.3432317879721103,438,305,57,0.5475,0.38125,0.4821179707709234,0.5484551180899143,0.6579777,0.23978093,0.7599923674110323,0.3264806033889527,0.4821179707709234,0.46375,0.5484551180899143,0.57875,0.249903624827275,0.2443035015362596,0.4952893674293405,-0.12951975,0.18686841,0.33125,0.6088837,0.2303477,0.7384035,0.21510072,0.04375,0.36,0.7384035,0.21510072,0.36
us_amazon_nova-lite-v1_0,800,800,0,0.1610010307776974,0.1903610703711161,0.29,0.0115365240973187,0.249114137056251,365,356,79,0.45625,0.445,0.4974431375321,0.5089796616294189,0.8171773,0.15639648,0.5300012590829283,0.2912903762927897,0.4974431375321,0.5425,0.5089796616294189,0.54375,0.1610010307776974,0.1903610703711161,0.3217753120665742,-0.045614664,0.09282803,0.17625,0.61663,0.20197977,0.66224474,0.21794902,0.035,0.21125,0.66224474,0.21794902,0.21125
us_amazon_nova-micro-v1_0,800,800,0,0.2288062536987126,0.242918193120741,0.3725,0.050017456896312,0.3300336277865666,407,312,81,0.50875,0.39,0.5076238051638938,0.5576412620602059,0.7151424,0.21142358,0.6774548120237887,0.3330296760774942,0.5076238051638938,0.51625,0.5576412620602059,0.58875,0.2288062536987126,0.242918193120741,0.4144645340751043,-0.073884346,0.13490665,0.2575,0.62964463,0.20080939,0.703529,0.21368735,0.0475,0.2925,0.703529,0.21368735,0.2925
us_amazon_nova-pro-v1_0,800,800,0,0.2318608320408384,0.2274140221656461,0.43125,0.0384830605125171,0.3225849762117989,409,362,29,0.51125,0.4525,0.4219171581196133,0.4604002186321304,0.62278503,0.25762403,0.8031616637017578,0.3309049790707323,0.4219171581196133,0.41875,0.4604002186321304,0.45,0.2318608320408384,0.2274140221656461,0.4474708171206226,-0.017034242,0.1863289,0.32375,0.56036824,0.22157265,0.5774025,0.24123694,0.04,0.35125,0.5774025,0.24123694,0.35125
