model_id,valid_entries,hearts_mean_drift,hearts_std_drift,hearts_significant_drift_rate,hearts_mean_raw_drift,hearts_positive_drift_rate,hearts_negative_drift_rate,hearts_mean_control_score,hearts_mean_bias_score,mean_semantic_similarity_drift,trait_mention_change_rate
us_meta_llama3-1-70b-instruct-v1_0,800,0.3097535898134811,0.2505398459529012,0.56375,0.1536195307323942,0.64375,0.34375,0.3417172503762413,0.4953367811086355,-0.2765241,0.54125
deepseek-llm_7b,800,0.2964559306239243,0.2366370055607236,0.565,0.0598245207720901,0.55875,0.44125,0.4029506585805211,0.4627751793526113,0.0122197345,0.37875
llama3_2_1b,800,0.2897384065377991,0.2320355920138191,0.5475,0.0352100241952575,0.52875,0.47125,0.4788485534250503,0.5140585776203079,-0.041316982,0.27
llama3_2_3b,800,0.2770580777170835,0.2298650347492597,0.54,0.0405908278707647,0.52625,0.465,0.4894886695232708,0.5300794973940356,0.025621314,0.275
llama3_1_8b,800,0.2550537303491728,0.2135419980075738,0.5,0.0012838045711396,0.495,0.5,0.50158889711136,0.5028727016824996,-0.027561784,0.26125
qwen2_5_7b,800,0.249903624827275,0.2443035015362596,0.46,0.0663371473189909,0.5475,0.38125,0.4821179707709234,0.5484551180899143,-0.12951975,0.33125
mistral_7b,800,0.2477309122867882,0.2158829423058778,0.47875,0.0103076598164625,0.47125,0.52625,0.4077473510371055,0.4180550108535681,-0.017178444,0.265
us_amazon_nova-pro-v1_0,800,0.2318608320408384,0.2274140221656461,0.43125,0.0384830605125171,0.51125,0.4525,0.4219171581196133,0.4604002186321304,-0.017034242,0.32375
us_amazon_nova-micro-v1_0,800,0.2288062536987126,0.242918193120741,0.3725,0.050017456896312,0.50875,0.39,0.5076238051638938,0.5576412620602059,-0.073884346,0.2575
us_anthropic_claude-3-5-haiku-20241022-v1_0,800,0.2255563571225502,0.2138944867198602,0.425,0.0147567979773157,0.50125,0.49625,0.4517342209487106,0.4664910189260263,-0.059915613,0.13375
us_anthropic_claude-3-haiku-20240307-v1_0,800,0.2129685310833156,0.2130827743203107,0.405,0.0043103050941135,0.46625,0.4725,0.5063350522430846,0.5106453573371982,-0.066898,0.25875
gemma2_9b,800,0.2117805788223631,0.208667940491897,0.41875,0.0148703709361143,0.46125,0.47375,0.4808204738271888,0.4956908447633031,-0.05120214,0.1675
us_amazon_nova-lite-v1_0,800,0.1610010307776974,0.1903610703711161,0.29,0.0115365240973187,0.45625,0.445,0.4974431375321,0.5089796616294189,-0.045614664,0.17625
